,Actor,Count,Rank
552,ScottDitty,1,3
553,ConradGoode,1,3
554,MarioRoberts,1,3
555,TyGrandersonJones,1,3
556,EarlBillings,1,3
557,BillyDevlin,1,3
558,MarkGinther,1,3
559,ThomasRosalesJr.,1,3
560,EddiePerez,1,3
561,唐·钱德尔,6,3
562,苏菲·奥康内多,1,3
563,杰昆·菲尼克斯,3,3
564,尼克·诺特,1,3
565,哈基姆·凯-卡西姆,1,3
566,福山雅治,1,3
567,柴崎幸,2,3
568,堤真一,1,3
569,松雪泰子,1,3
570,北村一辉,1,3
571,金泽美穗,1,3
572,章子怡,6,3
573,巩俐,6,3
574,刘嘉玲,9,3
575,张震,8,3
576,张曼玉,10,3
577,董洁,1,3
578,ThongchaiMcIntyre,1,3
579,萧炳林,2,3
580,吴廷烨,3,3
581,张睿羚,1,3
582,斯嘉丽·约翰逊,11,2
583,比尔·默瑞,4,3
584,吉奥瓦尼·瑞比西,4,3
585,竹下明子,1,3
586,安娜·法瑞丝,2,3
587,凯瑟琳·兰伯特,1,3
588,克里斯·派恩,2,3
589,扎克瑞·昆图,1,3
590,佐伊·索尔达娜,5,3
591,西蒙·佩吉,5,3
592,安东·叶利钦,1,3
593,卡尔·厄本,4,3
594,约翰·赵,1,3
595,布鲁斯·格林伍德,2,3
596,布兰登·诺曼,1,3
597,爱丽丝·伊芙,2,3
598,金·凯瑞,4,3
599,凯特·温丝莱特,3,3
600,伊利亚·伍德,6,3
601,汤姆斯·杰·瑞恩,1,3
602,简·亚当斯,1,3
603,大卫·克罗斯,4,3
604,汤姆·威尔金森,3,3
605,AmirAliSaid,1,3
606,BrianPrice,1,3
607,PaulieLitt,1,3
608,科林·法瑞尔,2,3
609,基弗·萨瑟兰,1,3
610,福里斯特·惠特克,2,3
611,拉达·米切尔,2,3
612,凯蒂·霍尔姆斯,2,3
613,罗根·勒曼,2,3
614,艾玛·沃森,9,3
615,埃兹拉·米勒,2,3
616,妮娜·杜波夫,1,3
617,梅·惠特曼,2,3
618,迪伦·麦克德莫特,1,3
619,凯特·沃什,1,3
620,梅兰妮·林斯基,2,3
621,瑞斯·伊凡斯,3,3
622,马丁·辛,2,3
623,C·托马斯·豪威尔,1,3
624,朱丽安妮·尼科尔森,1,3
625,安妮·帕里西,1,3
626,伊尔凡·可汗,3,3
627,迈尔斯·艾略特,1,3
628,汉娜·马克斯,1,3
629,威尔·史密斯,8,3
630,比尔·普尔曼,2,3
631,玛丽·麦克唐纳,1,3
632,贾德·赫希,1,3
633,罗伯特·劳吉亚,1,3
634,兰迪·奎德,2,3
635,玛格丽特·柯林,1,3
636,薇薇卡·福克斯,3,3
637,哈维·费斯特恩,2,3
638,亚当·鲍德温,1,3
639,布伦特·斯皮内,1,3
640,詹姆斯·杜瓦尔,1,3
641,莉萨·雅克布,1,3
642,杰赛普·安德鲁斯,1,3
643,RossBagley,1,3
644,比尔·斯米托洛维奇,1,3
645,小哈里·康尼克,2,3
646,绮尔斯腾·瓦伦,1,3
647,JohnStorey,1,3
648,FrankNovak,1,3
649,德文·古梅尔萨尔,1,3
650,吉姆·皮多克,1,3
651,阿曼达·塞弗里德,2,3
652,贾斯汀·汀布莱克,2,3
653,基里安·墨菲,5,3
654,文森特·卡塞瑟,1,3
655,亚历克斯·帕蒂弗,1,3
656,奥利维亚·王尔德,2,3
657,马特·波莫,1,3
658,贝拉·希思科特,1,3
659,萨莎·彼福瓦洛娃,1,3
660,梅丽莎·奥德维,2,3
661,瑞秋·罗伯茨,1,3
662,王学圻,5,3
663,黄晓明,5,3
664,赵文浩,1,3
665,王翰,1,3
666,赵文卓,2,3
667,鲍国安,1,3
668,张丰毅,3,3
669,舒淇,8,3
670,周韵,5,3
671,妻夫木聪,2,3
672,阮经天,3,3
673,谢欣颖,1,3
674,倪大红,5,3
675,雷镇语,1,3
676,许芳宜,1,3
677,毕安生,1,3
678,张少怀,1,3
679,石隽,1,3
680,梅芳,1,3
681,吴彦祖,10,3
682,古天乐,7,3
683,张静初,4,3
684,袁咏仪,1,3
685,廖启智,1,3
686,何美钿,1,3
687,尔冬升,1,3
688,杰拉德·巴特勒,4,3
689,埃米·罗森,2,3
690,帕特里克·威尔森,3,3
691,米兰达·理查森,1,3
692,明妮·德里弗,2,3
693,塞伦·希德,2,3
694,西蒙·卡洛,1,3
695,维克多·麦奎尔,1,3
696,詹妮弗·艾莉森,1,3
697,穆雷·梅尔文,1,3
698,詹姆斯·弗雷特,1,3
699,保罗·布洛克,1,3
700,莱明·卡莱姆罗,1,3
701,郑秀文,4,3
702,王天林,1,3
703,黑川力矢,1,3
704,佐膝佳次,1,3
705,绫濑遥,1,3
706,小出惠介,2,3
707,阿井莉沙,1,3
708,蛭子能收,1,3
709,远藤宪一,1,3
710,伊武雅刀,2,3
711,桐谷健太,1,3
712,小日向文世,1,3
713,松本莉绪,1,3
714,纳谷六朗,1,3
715,斋藤步,1,3
716,李晋纬,1,3
717,林海峰,1,3
718,吴君如,5,3
719,黄秋生,7,3
720,BuxxBanner,1,3
721,希拉里·斯万克,1,3
722,吉娜·格申,2,3
723,杰弗里·迪恩·摩根,1,3
724,房祖名,1,3
725,姜文,6,3
726,陈冲,3,3
727,孔维,1,3
728,崔健,1,3
729,李加民,1,3
730,徐熙媛,2,3
731,张家辉,1,3
732,刘烨,5,3
733,龚蓓苾,3,3
734,张兆辉,1,3
735,陈诗慧,1,3
736,贝安琪,1,3
737,王祖蓝,1,3
738,陈家乐,1,3
739,洪卓立,1,3
740,谭竣浩,1,3
741,赵又廷,5,3
742,林更新,6,3
743,金汎,1,3
744,杨颖,4,3
