type,status,isSend,content,content2,talkerId
3,2,1,,,1569
3,2,1,,,1569
1,2,1,@我要去西藏?哪阔嘛,,1569
1,3,0,q32444005,他结婚嗯哪阔没去吗,1569
1,2,1,@我要去西藏?你没在镜头内，我记得你没参加下午活动,,1569
1,3,0,q32444005,浪,1569
1,2,1,绝版了,,1569
1,2,1,就这么多了,,1569
1,2,1,@我是如此想小心?发个包,,1569
1,3,0,wxid_1252782525412,阿森纳么救了,1569
1,3,0,q32444005,浪,1569
1,2,1,@小心我来了?发个包,,1569
1,3,0,wxid_1252782525412,跟曼联球迷么得关系,1569
3,2,1,,,1569
1,2,1,@我要去西藏?这张还不够,,1569
1,3,0,q32444005,太模糊，差评,1569
1,2,1,苏宁球迷干架曼联粉,,1569
3,2,1,,,1569
1,2,1,播下种子,,1569
1,3,0,kuaful,你呕血呢,1569
1,3,0,kuaful,这个哪里来的,1569
1,3,0,q32444005,没的个过身,1569
1,2,1,好东西是要时间的沉淀,,1569
1,3,0,q32444005,求解释,1569
1,2,1,时间长了自己发的人，都不晓得自己发的了,,1569
1,2,1,说人话就是有惊喜,,1569
1,3,0,kuaful,@我要去西藏?跟你解释什么啊,1569
1,3,0,kuaful,你说说瞧,1569
1,3,0,q32444005,以后不做滨江人了,1569
1,3,0,q32444005,就这么简单,1569
1,2,1,你们晚上都是什么活动啊,,1569
1,2,1,保重应该今天打麻将,,1569
1,3,0,kuaful,保重消失很久了,1569
1,2,1,嗯是晓得的,,1569
1,2,1,城西人民大团结,,1569
1,3,0,kuaful,晚上写课题研究,1569
1,3,0,kuaful,人民的名义,1569
1,3,0,q32444005,今天看来要空车出行了,1569
1,3,0,q32444005,浪，恨死了,1569
1,2,1,七夕情人节,,1569
1,2,1,怎么空车,,1569
1,2,1,应该生意好才逗啊,,1569
3,3,0,q32444005,,1569
3,2,1,,,1569
1,3,0,q32444005,没的合适的,1569
1,2,1,@我是如此想小心?照片有没有备份，现在你说呢,,1569
49,3,0,wxid_1252782525412,,1569
3,2,1,,,1569
1,2,1,@我是如此想小心?@我要去西藏?@小心我来了?小心今晚这样的坏人,,1569
1,3,0,kuaful,嗯真要加班,1569
1,3,0,kuaful,跟你们不一样,1569
3,3,0,q32444005,,1569
1,3,0,q32444005,这种路况，单子没法接,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,笑看风轻云淡,1569
1,2,1,黄丁蟹,,1569
3,2,1,,,1569
1,2,1,出租车内,,1569
1,2,1,一块钱,,1569
1,2,1,要不要低头,,1569
47,2,1,wxid_0mkad3zxhnsr22,1.50E+12,1569
43,3,0,q32444005,5,1569
1,2,1,浪,,1569
1,3,0,q32444005,亏死了,1569
1,3,0,kuaful,@我要去西藏?明天多带个客,1569
1,3,0,q32444005,浪,1569
3,2,1,,,1569
1,2,1,银行人都是骚客,,1569
1,2,1,会吟诗,,1569
1,2,1,有同学委托找对象,,1569
1,2,1,你们杭州有资源啊,,1569
1,2,1,29注册会计有房,,1569
1,3,0,q32444005,男的女的,1569
1,2,1,女找男,,1569
1,3,0,q32444005,我,1569
1,2,1,不要玩弄感情,,1569
1,3,0,q32444005,带你找找看,1569
1,2,1,先生,,1569
1,2,1,安,,1569
1,3,0,q32444005,你以为,1569
1,2,1,浪,,1569
1,2,1,有文化的人,,1569
1,2,1,会顿句,,1569
3,3,0,q32444005,,1569
1,3,0,q32444005,这个点还是堵的死死,1569
1,2,1,@我要去西藏?放空自己,,1569
1,3,0,q32444005,如何放空,1569
1,2,1,周四做一次城西人,,1569
1,2,1,心情放空,,1569
1,2,1,到哪都不堵,,1569
1,3,0,q32444005,高级,1569
1,3,0,kuaful,@我爱周星驰?年纪比她小可以吗,1569
1,2,1,小多少啊,,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,先锁定个位置,1569
1,2,1,浪,,1569
3,2,1,,,1569
1,2,1,你晚上不要去这种地方,,1569
1,2,1,@我是如此想小心?,,1569
43,3,0,q32444005,8,1569
43,3,0,q32444005,7,1569
1,2,1,小黄车,,1569
3,3,0,kuaful,,1569
3,3,0,wxid_1252782525412,,1569
1,2,1,@小心我来了?老板你好,,1569
1,3,0,wxid_1252782525412,下次来给你们打八折,1569
1,3,0,kuaful,哪里的？,1569
1,3,0,wxid_1252782525412,问东子看看,1569
1,3,0,kuaful,菜价太高,1569
1,3,0,q32444005,老板娘的,1569
1,3,0,q32444005,现在只能外卖,1569
1,3,0,wxid_1252782525412,你去菜市场买过龙虾么有@我是如此想小心?,1569
1,3,0,kuaful,@小心我来了?搞得跟你去买过一样,1569
1,3,0,wxid_1252782525412,浪,1569
1,2,1,浪,,1569
1,2,1,龙虾下架了吧,,1569
1,3,0,kuaful,皮蛋保和老板娘有一腿,1569
1,2,1,@我是如此想小心?科长今天有没有感觉被掏空,,1569
3,2,1,,,1569
1,3,0,kuaful,老板娘开分店，都围着皮蛋转,1569
1,3,0,kuaful,还好晚上加班,1569
1,3,0,wxid_1252782525412,浪,1569
1,3,0,wxid_1252782525412,要加几天班啊,1569
1,3,0,kuaful,就一晚啊,1569
1,3,0,q32444005,浪,1569
1,3,0,kuaful,真加班,1569
1,3,0,q32444005,结束,1569
1,3,0,kuaful,尴尬呢,1569
1,3,0,wxid_1252782525412,今天加还是明天加？,1569
1,3,0,kuaful,今天,1569
1,2,1,科长,,1569
1,2,1,七夕加班,,1569
3,2,1,,,1569
1,2,1,小博真没意见？,,1569
1,3,0,kuaful,浪嘛,1569
1,3,0,kuaful,这个是真事,1569
1,3,0,kuaful,不行只能辞职了,1569
3,2,1,,,1569
1,2,1,啊什么时候是假释,,1569
1,3,0,kuaful,@我爱周星驰?韩总晚上来突击查房吗？,1569
1048625,2,1,"<msg><appmsgappid=""""sdkver=""0""><title></title><des></des><username></username><action>view</action><type>8</type><showtype>0</showtype><content></content><url></url><lowurl></lowurl><dataurl></dataurl><lowdataurl></lowdataurl><contentattr>0</contentattr><streamvideo><streamvideourl></streamvideourl><streamvideototaltime>0</streamvideototaltime><streamvideotitle></streamvideotitle><streamvideowording></streamvideowording><streamvideoweburl></streamvideoweburl><streamvideothumburl></streamvideothumburl><streamvideoaduxinfo></streamvideoaduxinfo><streamvideopublishid></streamvideopublishid></streamvideo><canvasPageItem><canvasPageXml><![CDATA[]]></canvasPageXml></canvasPageItem><appattach><totallen>6656</totallen><attachid>0",0,1569
1,2,1,今晚的人民银行是个不眠夜。不像外面的男女神色匆匆，不像外面的车水马龙。有的只是人民的名义，在那辛勤工作着。平，鹞，一个个机密的暗号从人民银行总部发出，润色着这漆黑的夜，夜色下的男女们抬起头,下雨了。然而他们不知道这是辛勤的汗水，向人民公仆以最好的敬意,1569
1,3,0,kuaful,应该的,1569
1,3,1,晚上地震怎么办？,,1569
1,3,0,wxid_1252782525412,操碎了心,1569
47,3,0,q32444005,0,1569
47,3,0,q32444005,0,1569
47,3,0,q32444005,0,1569
1,3,0,kuaful,情人节快乐！[玫瑰][玫瑰][玫瑰]巴拉拉能量喂狗粮鸡腿，下[偷笑][偷笑],1569
1,3,0,wxid_1252782525412,[调皮][调皮],1569
1,3,0,kuaful,http,1569
3,2,1,,,1569
3,3,0,kuaful,,1569
1,3,0,wxid_1252782525412,浪,1569
1,3,0,wxid_1252782525412,多少个情人喔,1569
1,3,0,q32444005,@我爱周星驰?云栖大会的票是要买的？,1569
49,3,0,kuaful,,1569
1,3,0,q32444005,有内部票吗,1569
1,2,1,没有啊,,1569
1,3,0,q32444005,浪,1569
49,3,0,wxid_1252782525412,,1569
1,3,0,kuaful,皮蛋怎么看,1569
1,3,0,wxid_1252782525412,皮蛋要回去去过七夕了,1569
3,3,0,kuaful,,1569
1,2,1,今天汇率怎么回事,,1569
1,2,1,哭死了,,1569
1,2,1,@我是如此想小心?,,1569
1,3,0,wxid_1252782525412,有美元的人很烦恼,1569
1,2,1,@小心我来了?a股大涨,,1569
1,2,1,发个包,,1569
1,3,0,kuaful,还真没关注过这个,1569
1,3,0,wxid_1252782525412,还没解套呢,1569
49,3,0,wxid_1252782525412,,1569
1,3,0,kuaful,这种事情你在兔兔的微信朋友圈里提问,1569
1,3,0,kuaful,他会解答你的,1569
1,2,1,茅台,,1569
1,2,1,我的茅台,,1569
1,3,0,kuaful,你刚卖了一点？,1569
1,3,0,kuaful,还是刚准备美元换人民币,1569
